user_id,product_id,review_text,rating,created_at,ip_address,device_fingerprint,label_is_fake
270,PROD-35,Does the job. Nothing fancy but works fine for what I need. The color is nice.,3,2025-09-02T11:04:38.632055,192.168.26.77,device_111,0
158,PROD-14,Good enough for the price. No issues so far after a week of use.,3,2025-11-02T11:04:38.632055,192.168.109.151,device_103,0
5,PROD-46,Decent buy. Does what it claims and arrived on time.,5,2025-09-02T11:04:38.632055,192.168.78.148,device_119,0
246,PROD-31,HORRIBLE PRODUCT DO NOT WASTE YOUR MONEY!!!,1,2025-08-20T11:04:38.632055,192.168.246.130,device_117,1
54,PROD-56,Good product for everyday use. Recommend it to others. Good customer service.,5,2025-10-15T11:04:38.632055,192.168.9.149,device_183,0
94,PROD-32,Happy with my purchase. Good quality and fair price.,5,2025-11-08T11:04:38.632055,192.168.248.219,device_65,0
9,PROD-36,HIGHLY RECOMMEND THIS!!! AMAZING!!! FANTASTIC!!!,1,2025-10-25T11:04:38.632055,192.168.117.49,device_151,1
198,PROD-23,Happy with my purchase. Good quality and fair price.,4,2025-09-06T11:04:38.632055,192.168.86.67,device_183,0
111,PROD-45,"Solid product, no complaints. Shipping was fast and item as described. Good customer service.",5,2025-10-31T11:04:38.632055,192.168.136.204,device_74,0
115,PROD-28,Satisfied customer. Product arrived in good condition and works well.,5,2025-10-29T11:04:38.632055,192.168.100.97,device_191,0
413,PROD-23,Good value. Simple and functional as described in the listing.,5,2025-10-15T11:04:38.632055,192.168.247.197,device_47,0
17,PROD-6,Good value. Simple and functional as described in the listing. Fast shipping.,3,2025-09-29T11:04:38.632055,192.168.233.96,device_61,0
325,PROD-5,Nice quality. Better than I expected for the price point.,3,2025-08-18T11:04:38.632055,192.168.132.236,device_118,0
205,PROD-45,Fair quality for the price point. Would buy again if needed.,5,2025-08-25T11:04:38.632055,192.168.76.80,device_82,0
218,PROD-11,Satisfied customer. Product arrived in good condition and works well. Easy to use.,4,2025-10-02T11:04:38.632055,192.168.204.208,device_103,0
90,PROD-26,"Nice purchase, happy with it. Good value for money and arrived quickly. The color is nice.",5,2025-10-11T11:04:38.632055,192.168.241.178,device_60,0
123,PROD-40,Works as advertised. Happy with this purchase and would recommend.,5,2025-11-07T11:04:38.632055,192.168.157.183,device_116,0
473,PROD-7,Happy with my purchase. Good quality and fair price.,5,2025-10-12T11:04:38.632055,192.168.112.125,device_160,0
18,PROD-1,Decent quality for the price. Would recommend to others looking for value. Good customer service.,4,2025-10-30T11:04:38.632055,192.168.166.8,device_105,0
90,PROD-75,"Good product, works as expected. Delivery was on time and packaging was secure. Good customer service.",5,2025-11-04T11:04:38.632055,192.168.86.147,device_86,0
351,PROD-76,Nice quality. Better than I expected for the price point. Material feels durable.,3,2025-09-06T11:04:38.632055,192.168.160.212,device_137,0
16,PROD-8,Satisfied with the purchase. Does what it says on the box without issues. The color is nice.,5,2025-09-14T11:04:38.632055,192.168.75.24,device_130,0
255,PROD-79,Good enough for the price. No issues so far after a week of use. Easy to use.,3,2025-11-06T11:04:38.632055,192.168.76.89,device_50,0
217,PROD-73,Happy with my purchase. Good quality and fair price.,4,2025-09-16T11:04:38.632055,192.168.103.175,device_76,0
16,PROD-69,"Good product, works as expected. Delivery was on time and packaging was secure. Good customer service.",4,2025-09-27T11:04:38.632055,192.168.69.75,device_146,0
444,PROD-63,Good value. Simple and functional as described in the listing. Size is accurate.,3,2025-10-21T11:04:38.632055,192.168.91.248,device_75,0
41,PROD-24,Decent buy. Does what it claims and arrived on time.,3,2025-09-18T11:04:38.632055,192.168.40.24,device_60,0
202,PROD-36,Works as advertised. Happy with this purchase and would recommend.,4,2025-08-29T11:04:38.632055,192.168.76.16,device_150,0
421,PROD-58,Good value. Simple and functional as described in the listing.,4,2025-08-27T11:04:38.632055,192.168.126.141,device_48,0
478,PROD-66,Simple and effective. Does what it's supposed to do reliably.,3,2025-11-09T11:04:38.632055,192.168.168.97,device_126,0
439,PROD-29,Nice quality. Better than I expected for the price point. The color is nice.,4,2025-08-17T11:04:38.632055,192.168.143.227,device_12,0
326,PROD-41,Decent product. Does what I needed it to do without problems.,5,2025-08-16T11:04:38.632055,192.168.75.111,device_75,0
118,PROD-41,Decent buy. Does what it claims and arrived on time. Easy to use.,4,2025-08-15T11:04:38.632055,192.168.151.138,device_21,0
56,PROD-45,"Works well, arrived on time. Packaging could be better but product is fine.",3,2025-09-06T11:04:38.632055,192.168.177.133,device_14,0
310,PROD-75,"Works well, arrived on time. Packaging could be better but product is fine.",4,2025-11-04T11:04:38.632055,192.168.30.35,device_83,0
235,PROD-40,Pretty good product. Met my expectations overall and seems durable.,5,2025-09-03T11:04:38.632055,192.168.188.162,device_24,0
